GLaDOS_00_part1_entry_1	Hello and, again, welcome to the Aperture Science computer-aided enrichment center.
GLaDOS_00_part1_entry_2	We hope your brief detention in the relaxation vault has been a pleasant one.
GLaDOS_00_part1_entry_3	Your specimen has been processed and we are now ready to begin the test proper.
GLaDOS_00_part1_entry_4	Before we start, however, keep in mind that although fun and learning are the primary goals of all enrichment center activities, serious injuries may occur.
GLaDOS_00_part1_entry_5	For your own safety and the safety of others, please refrain from-- [bzzzzzt]
GLaDOS_00_part1_entry_6	Por favor bordón de fallar Muchos gracias de fallar gracias
GLaDOS_00_part1_entry_7	stand back. The portal will open in three, two, one.
GLaDOS_00_part1_success_1	Excellent. Please proceed into the chamberlock after completing each test.
GLaDOS_00_part1_success_2	First, however, note the incandescent particle field across the exit.
GLaDOS_00_part1_success_3	This Aperture Science Material Emancipation Grill will vaporize any unauthorized equipment that passes through it - for instance, the Aperture Science Weighted Storage Cube.
GLaDOS_generic_crate_vaporized_in_emancipation_grid_1	"Please do not attempt to remove testing apparatus from the testing area."
GLaDOS_generic_crate_vaporized_in_emancipation_grid_2	"A replacement Aperture Science Weighted Storage Cube will be delivered shortly."
GLaDOS_00_part2_entry_1	Please place the Weighted Storage Cube on the Fifteen Hundred Megawatt Aperture Science Heavy Duty Super-Colliding Super Button.
GLaDOS_00_part2_success_1	Perfect. Please move quickly to the chamberlock, as the effects of prolonged exposure to the Button are not part of this test.
GLaDOS_01_part1_entry_1	You're doing very well!
GLaDOS_01_part1_entry_2	Please be advised that a noticeable taste of blood is not part of any test protocol but is an unintended side effect of the Aperture Science Material Emancipation Grill, which may, in semi- rare cases, emancipate dental fillings, crowns, tooth enamel, and teeth.
GLaDOS_01_part1_get_portal_gun_1	Very good! You are now in possession of the Aperture Science Handheld Portal Device.
GLaDOS_01_part1_get_portal_gun_2	With it, you can create your own portals.
GLaDOS_01_part1_get_portal_gun_3	These intra-dimensional gates have proven to be completely safe.
GLaDOS_01_part1_get_portal_gun_4	The Device, however, has not.
GLaDOS_01_part1_get_portal_gun_5	Do not touch the operational end of The Device.
GLaDOS_01_part1_get_portal_gun_6	Do not look directly at the operational end of The Device.
GLaDOS_01_part1_get_portal_gun_7	Do not submerge The Device in liquid, even partially.
GLaDOS_01_part1_get_portal_gun_8	Most importantly, under no circumstances should you (static, slows to a stop)
GLaDOS_01_part2_entry_1	Please proceed to the chamberlock. Mind the gap.
GLaDOS_01_part2_success_1	Well done! Remember: The Aperture Science Bring Your Daughter to Work Day is the perfect time to have her tested.
GLaDOS_02_part1_entry_1	Welcome to test chamber four.
GLaDOS_02_part1_entry_2	You're doing quite well.
GLaDOS_02_part1_success_1	Once again, excellent work.
